	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
'9	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.1	0.0	0.0	0.1	0.0	0.1	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0
'10	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11-15	0.1	0.0	0.2	0.1	0.0	0.0	0.1	0.0	0.0	0.2	0.1	0.1	0.0	0.1	0.1	0.1	0.2	0.2	0.0	0.1	0.0	0.0	0.2	0.0	0.3	0.1	0.2	0.1	0.0	0.1	0.1	0.1	0.0	0.0	0.1	0.0	0.1	0.2	0.1	0.0	0.0	0.0
16-20	0.0	0.0	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.2	0.1	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0
21-50	0.1	0.0	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.2	0.1	0.0	0.0	0.0	0.0	0.2	0.0	0.3	0.1	0.1	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0
51-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1	4564	5593	6543	6403	5542	5640	4311	5912	6846	6860	6318	5650	6119	6135	5779	6927	5495	7055	6304	4541	5706	5364	5365	6768	5599	6090	5306	5352	5650	5354	5715	5346	5693	6052	7209	6988	6433	5382	8532	10890	10120	8705
'2	2056	2298	3846	2974	2582	1384	2306	2462	1242	4174	3610	3354	3058	3734	2822	4006	6198	3776	2200	7582	1088	2006	3526	1272	4130	2574	6230	1984	2528	2814	1788	1778	2530	2642	3342	2746	3056	2744	1978	2728	2958	4720
'3	897	1062	2226	1386	1098	720	1071	1062	396	2391	1935	1542	1278	1725	1038	1860	3003	1965	1017	2727	399	918	2046	498	2598	1416	2862	1089	1224	1488	711	810	1167	1206	1593	1386	1869	1299	822	945	1056	2109
'4	604	628	1420	700	584	392	816	576	168	1644	1256	924	588	1048	628	1076	1788	1144	700	1692	256	548	1320	240	1856	928	2036	704	620	868	456	532	560	600	1012	756	1252	884	488	584	504	1408
'5	460	405	1400	490	305	220	550	425	95	1295	755	745	295	755	420	760	1320	960	465	985	120	410	905	190	1495	685	1240	555	435	655	320	455	405	435	695	460	835	595	235	365	355	775
'6	348	252	978	396	222	276	528	354	60	924	402	438	162	378	408	618	984	834	306	810	126	282	780	96	1188	474	978	504	342	510	324	438	276	228	522	366	480	456	210	324	216	564
'7	238	182	882	231	231	133	371	217	42	882	371	504	105	420	203	357	763	504	196	581	77	238	574	84	994	420	637	455	273	287	175	329	175	189	322	238	504	385	161	210	231	364
'8	328	176	704	120	152	184	360	168	48	672	256	360	88	320	160	296	600	496	208	416	32	184	560	64	728	416	688	248	152	248	160	216	120	128	240	176	296	352	216	192	168	336
'9	198	117	540	180	108	117	261	171	27	684	207	342	63	189	117	216	603	360	216	387	36	135	495	54	720	333	495	288	90	270	153	207	90	81	180	117	306	324	180	144	126	288
'10	140	90	490	220	80	80	260	70	40	440	230	300	10	230	150	200	500	390	180	340	30	50	380	70	950	310	350	290	120	250	120	330	100	20	110	100	280	210	140	120	120	180
11-15	894	340	1824	509	226	374	895	369	50	2085	611	1167	132	726	539	999	1710	1389	410	1018	147	332	1932	187	2802	1218	1644	760	241	821	466	1146	160	195	644	171	1097	1420	660	317	239	412
16-20	598	73	1055	112	107	193	626	232	0	1679	173	769	83	475	174	300	1239	1178	347	444	0	167	1197	69	2097	767	858	447	126	432	316	875	73	51	322	68	833	811	277	90	87	335
21-50	1562	131	1848	412	186	438	1252	427	0	3276	350	2328	179	773	688	857	3116	2186	529	583	0	102	3766	105	6932	1697	2186	564	138	1088	558	3016	129	126	538	235	801	1982	242	45	25	321
51-100	908	0	287	199	80	139	438	60	0	458	76	672	88	240	123	0	1254	851	115	130	0	0	1658	0	4040	600	189	164	0	298	123	938	0	0	125	0	234	118	0	0	0	0
101-150	219	0	118	108	0	224	262	0	0	131	124	127	0	0	0	0	568	0	0	0	0	0	276	0	879	116	0	0	0	0	0	272	106	0	0	0	0	0	0	0	0	0
151-200	158	0	0	0	0	0	174	0	0	0	0	179	0	0	0	0	196	0	0	0	0	0	189	0	348	0	0	0	0	0	0	672	0	0	0	0	0	0	0	0	0	0
201-500	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1786	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	26.4	42.6	24.3	36.5	41.4	45.1	26.1	41.5	60.9	23.5	34.3	26.3	41.4	30.6	39.0	32.0	16.4	26.7	42.9	17.8	53.1	37.3	19.1	58.7	13.4	30.7	18.4	29.9	38.6	28.8	43.4	24.6	38.2	45.1	37.8	47.6	32.9	29.0	46.1	57.9	58.2	38.4
'2	11.9	17.5	14.3	17.0	19.3	11.1	14.0	17.3	11.1	14.3	19.6	15.6	20.7	18.7	19.0	18.5	18.5	14.3	15.0	29.8	10.1	14.0	12.5	11.0	9.9	13.0	21.6	11.1	17.3	15.1	13.6	8.2	17.0	19.7	17.5	18.7	15.6	14.8	10.7	14.5	17.0	20.8
'3	5.2	8.1	8.3	7.9	8.2	5.8	6.5	7.4	3.5	8.2	10.5	7.2	8.6	8.6	7.0	8.6	9.0	7.4	6.9	10.7	3.7	6.4	7.3	4.3	6.2	7.1	9.9	6.1	8.4	8.0	5.4	3.7	7.8	9.0	8.3	9.4	9.6	7.0	4.4	5.0	6.1	9.3
'4	3.5	4.8	5.3	4.0	4.4	3.1	4.9	4.0	1.5	5.6	6.8	4.3	4.0	5.2	4.2	5.0	5.3	4.3	4.8	6.6	2.4	3.8	4.7	2.1	4.4	4.7	7.1	3.9	4.2	4.7	3.5	2.4	3.8	4.5	5.3	5.1	6.4	4.8	2.6	3.1	2.9	6.2
'5	2.7	3.1	5.2	2.8	2.3	1.8	3.3	3.0	0.8	4.4	4.1	3.5	2.0	3.8	2.8	3.5	3.9	3.6	3.2	3.9	1.1	2.9	3.2	1.6	3.6	3.5	4.3	3.1	3.0	3.5	2.4	2.1	2.7	3.2	3.6	3.1	4.3	3.2	1.3	1.9	2.0	3.4
'6	2.0	1.9	3.6	2.3	1.7	2.2	3.2	2.5	0.5	3.2	2.2	2.0	1.1	1.9	2.8	2.9	2.9	3.2	2.1	3.2	1.2	2.0	2.8	0.8	2.8	2.4	3.4	2.8	2.3	2.7	2.5	2.0	1.9	1.7	2.7	2.5	2.5	2.5	1.1	1.7	1.2	2.5
'7	1.4	1.4	3.3	1.3	1.7	1.1	2.2	1.5	0.4	3.0	2.0	2.3	0.7	2.1	1.4	1.6	2.3	1.9	1.3	2.3	0.7	1.7	2.0	0.7	2.4	2.1	2.2	2.5	1.9	1.5	1.3	1.5	1.2	1.4	1.7	1.6	2.6	2.1	0.9	1.1	1.3	1.6
'8	1.9	1.3	2.6	0.7	1.1	1.5	2.2	1.2	0.4	2.3	1.4	1.7	0.6	1.6	1.1	1.4	1.8	1.9	1.4	1.6	0.3	1.3	2.0	0.6	1.7	2.1	2.4	1.4	1.0	1.3	1.2	1.0	0.8	1.0	1.3	1.2	1.5	1.9	1.2	1.0	1.0	1.5
'9	1.1	0.9	2.0	1.0	0.8	0.9	1.6	1.2	0.2	2.3	1.1	1.6	0.4	0.9	0.8	1.0	1.8	1.4	1.5	1.5	0.3	0.9	1.8	0.5	1.7	1.7	1.7	1.6	0.6	1.5	1.2	1.0	0.6	0.6	0.9	0.8	1.6	1.7	1.0	0.8	0.7	1.3
'10	0.8	0.7	1.8	1.3	0.6	0.6	1.6	0.5	0.4	1.5	1.2	1.4	0.1	1.1	1.0	0.9	1.5	1.5	1.2	1.3	0.3	0.3	1.4	0.6	2.3	1.6	1.2	1.6	0.8	1.3	0.9	1.5	0.7	0.1	0.6	0.7	1.4	1.1	0.8	0.6	0.7	0.8
11-15	5.2	2.6	6.8	2.9	1.7	3.0	5.4	2.6	0.4	7.1	3.3	5.4	0.9	3.6	3.6	4.6	5.1	5.3	2.8	4.0	1.4	2.3	6.9	1.6	6.7	6.1	5.7	4.2	1.6	4.4	3.5	5.3	1.1	1.5	3.4	1.2	5.6	7.7	3.6	1.7	1.4	1.8
16-20	3.5	0.6	3.9	0.6	0.8	1.5	3.8	1.6	0.0	5.7	0.9	3.6	0.6	2.4	1.2	1.4	3.7	4.5	2.4	1.7	0.0	1.2	4.3	0.6	5.0	3.9	3.0	2.5	0.9	2.3	2.4	4.0	0.5	0.4	1.7	0.5	4.3	4.4	1.5	0.5	0.5	1.5
21-50	9.0	1.0	6.9	2.3	1.4	3.5	7.6	3.0	0.0	11.2	1.9	10.8	1.2	3.9	4.6	4.0	9.3	8.3	3.6	2.3	0.0	0.7	13.4	0.9	16.5	8.6	7.6	3.1	0.9	5.9	4.2	13.9	0.9	0.9	2.8	1.6	4.1	10.7	1.3	0.2	0.1	1.4
51-100	5.3	0.0	1.1	1.1	0.6	1.1	2.7	0.4	0.0	1.6	0.4	3.1	0.6	1.2	0.8	0.0	3.7	3.2	0.8	0.5	0.0	0.0	5.9	0.0	9.6	3.0	0.7	0.9	0.0	1.6	0.9	4.3	0.0	0.0	0.7	0.0	1.2	0.6	0.0	0.0	0.0	0.0
101-150	1.3	0.0	0.4	0.6	0.0	1.8	1.6	0.0	0.0	0.4	0.7	0.6	0.0	0.0	0.0	0.0	1.7	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.1	0.6	0.0	0.0	0.0	0.0	0.0	1.3	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.9	0.0	0.0	0.0	0.0	0.0	1.1	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	3.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
